Factuurnummer,Factuurdatum,Identificatienummer,Naam,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter
202500936,26/11/2025,66,d'Swarte Walvis,d'Swarte Walvis,"Eigen groep, Zaanstreek",Dennis de Leeuw,Nederland,Zaandam,Korting 20%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202500936,26/11/2025,66,d'Swarte Walvis,d'Swarte Walvis,"Eigen groep, Zaanstreek",Dennis de Leeuw,Nederland,Zaandam,Korting 20%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Kaper Tropical - Summer Session IPA,3.96
202500937,26/11/2025,572,Compaen VMBO,Compaen VMBO,"B2B, Zaanstreek",,Nederland,Zaandam,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202500940,26/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",2,Hoop US Lager,40.0
202500940,26/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,514,Hoop Bleke Nelis KU 20L,"Bier in KU fust, Kern",2,Hoop Bleke Nelis,40.0
202500940,26/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,534,Hoop Kaper Tropical  IPA KU 20L,"Bier in KU fust, Kern",1,Hoop Kaper Tropical - Summer Session IPA,20.0
202500941,26/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",5,Hoop Kaper Tropical - Summer Session IPA,19.8
202500941,26/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,5,Hoop Bleke Nelis,8.25
202500942,26/11/2025,646,Bacio Pizza,Bacio Pizza,"Restaurant, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202500942,26/11/2025,646,Bacio Pizza,Bacio Pizza,"Restaurant, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Korting 15%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Kaper Tropical - Summer Session IPA,7.92
202500943,26/11/2025,22,Slijterij Vonk B.V.,Slijterij Vonk B.V.,"Retail, Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,ZAANDAM,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Bleke Nelis,15.84
202500945,28/11/2025,556,MOKUM HOSPITALITY B.V.,MOKUM HOSPITALITY B.V.,Café,,Nederland,AMSTERDAM,Korting 15%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",6,Hoop Kaper Tropical - Summer Session IPA,23.76
202500947,27/11/2025,677,Yasmina Azhoum,Yasmina Azhoum,B2B,Dennis de Leeuw,Nederland,Haarlem,Standaard prijs,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Bleke Nelis,15.84
202500948,28/11/2025,661,Kissbakery BV,Kissbakery BV,"Keten, Zaanstreek",Dennis de Leeuw,Nederland,Zaandam,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202500949,28/11/2025,479,De Stoomhal,De Stoomhal,"Café, Zaanstreek",Dennis de Leeuw,Nederland,Wormer,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202500949,28/11/2025,479,De Stoomhal,De Stoomhal,"Café, Zaanstreek",Dennis de Leeuw,Nederland,Wormer,Korting 15%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Kaper Tropical - Summer Session IPA,7.92
202500949,28/11/2025,479,De Stoomhal,De Stoomhal,"Café, Zaanstreek",Dennis de Leeuw,Nederland,Wormer,Korting 15%,514,Hoop Bleke Nelis KU 20L,"Bier in KU fust, Kern",1,Hoop Bleke Nelis,20.0
202500950,27/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,-5,Hoop Bleke Nelis,-8.25
202500951,28/11/2025,66,d'Swarte Walvis,d'Swarte Walvis,"Eigen groep, Zaanstreek",Dennis de Leeuw,Nederland,Zaandam,Korting 20%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Kaper Tropical - Summer Session IPA,15.84
202500952,28/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,549,Hoop 10 jaar assorti doos 12fles,Cadeauset,50,Hoop Bleke Nelis,16.5
202500952,28/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,549,Hoop 10 jaar assorti doos 12fles,Cadeauset,50,Hoop Kaper Tropical - Summer Session IPA,16.5
202500953,28/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,8,Hoop Bleke Nelis,13.2
202500954,02/12/2025,491,Koog Supermarkten BV,Koog Supermarkten BV,"Slijterij, Zaanstreek",Sjors Sombroek,Nederland,Haarlem,Korting 20%,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,-1,Hoop Bleke Nelis,-1.98
202500955,01/12/2025,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
