date,temp_mean,rain_mm
2024-10-20,15.2,2.2
2024-10-21,14.3,4.3
2024-10-22,12.3,6.3
2024-10-23,11.1,0.3
2024-10-24,10.1,0.0
2024-10-25,13.1,2.0
2024-10-26,13.3,0.0
2024-10-27,13.1,0.1
2024-10-28,12.4,2.3
2024-10-29,14.0,2.4
2024-10-30,12.7,0.0
2024-10-31,11.2,0.0
2024-11-01,12.0,0.1
2024-11-02,10.9,0.0
2024-11-03,6.7,0.0
2024-11-04,6.9,0.0
2024-11-05,6.3,0.0
2024-11-06,9.0,0.1
2024-11-07,7.2,0.0
2024-11-08,4.7,0.0
2024-11-09,5.9,0.0
2024-11-10,8.2,0.5
2024-11-11,9.9,2.8
2024-11-12,8.6,0.0
2024-11-13,8.9,0.0
2024-11-14,10.6,0.1
2024-11-15,9.4,0.0
2024-11-16,10.2,3.1
2024-11-17,7.5,5.2
2024-11-18,5.1,8.4
2024-11-19,3.7,12.4
2024-11-20,2.1,10.0
2024-11-21,1.6,5.9
2024-11-22,2.3,11.3
2024-11-23,3.3,12.3
2024-11-24,14.2,3.3
2024-11-25,12.9,5.7
2024-11-26,7.8,1.2
2024-11-27,6.9,15.7
2024-11-28,7.4,0.4
2024-11-29,3.7,0.0
2024-11-30,3.6,0.0
2024-12-01,6.0,0.0
2024-12-02,9.2,2.7
2024-12-03,6.3,0.7
2024-12-04,4.6,0.6
2024-12-05,6.5,13.3
2024-12-06,8.7,15.2
2024-12-07,7.5,4.0
2024-12-08,6.3,2.7
2024-12-09,6.0,0.2
2024-12-10,5.0,0.0
2024-12-11,3.6,0.0
2024-12-12,4.4,0.3
2024-12-13,2.4,0.0
2024-12-14,3.8,1.7
2024-12-15,8.5,0.3
2024-12-16,10.2,0.3
2024-12-17,8.7,0.1
2024-12-18,10.3,0.9
2024-12-19,8.5,19.0
2024-12-20,6.4,0.4
2024-12-21,8.1,5.2
2024-12-22,5.6,9.0
2024-12-23,6.6,2.1
2024-12-24,6.0,1.0
2024-12-25,9.5,0.0
2024-12-26,8.0,0.1
2024-12-27,3.6,0.0
2024-12-28,2.2,0.0
2024-12-29,5.6,0.1
2024-12-30,7.5,0.0
2024-12-31,6.0,0.0
2025-01-01,8.6,17.0
2025-01-02,4.2,1.5
2025-01-03,2.7,3.0
2025-01-04,1.4,0.8
2025-01-05,4.1,20.3
2025-01-06,9.5,7.3
2025-01-07,4.0,4.9
2025-01-08,3.2,0.7
2025-01-09,2.2,3.3
2025-01-10,2.8,3.2
